mode: count
github.com/tknb-023/ccat/ccat.go:10.51,11.34 1 31
github.com/tknb-023/ccat/ccat.go:11.34,13.3 1 23
github.com/tknb-023/ccat/ccat.go:13.8,15.3 1 8
github.com/tknb-023/ccat/ccat.go:19.61,22.21 3 6
github.com/tknb-023/ccat/ccat.go:22.21,25.40 2 52
github.com/tknb-023/ccat/ccat.go:30.3,30.27 1 51
github.com/tknb-023/ccat/ccat.go:36.3,36.19 1 51
github.com/tknb-023/ccat/ccat.go:50.3,50.20 1 31
github.com/tknb-023/ccat/ccat.go:56.3,58.14 3 31
github.com/tknb-023/ccat/ccat.go:25.40,27.12 2 1
github.com/tknb-023/ccat/ccat.go:30.27,32.4 1 20
github.com/tknb-023/ccat/ccat.go:32.9,34.4 1 31
github.com/tknb-023/ccat/ccat.go:36.19,37.20 1 36
github.com/tknb-023/ccat/ccat.go:37.20,38.20 1 15
github.com/tknb-023/ccat/ccat.go:44.5,44.13 1 15
github.com/tknb-023/ccat/ccat.go:38.20,41.6 2 15
github.com/tknb-023/ccat/ccat.go:41.11,43.6 1 0
github.com/tknb-023/ccat/ccat.go:45.10,45.26 1 21
github.com/tknb-023/ccat/ccat.go:45.26,46.13 1 5
github.com/tknb-023/ccat/ccat.go:50.20,51.15 1 0
github.com/tknb-023/ccat/ccat.go:51.15,53.13 2 0
github.com/tknb-023/ccat/ccat.go:63.58,65.16 2 5
github.com/tknb-023/ccat/ccat.go:68.2,70.14 3 5
github.com/tknb-023/ccat/ccat.go:65.16,66.13 1 0
github.com/tknb-023/ccat/ccat.go:74.30,76.33 2 5
github.com/tknb-023/ccat/ccat.go:76.33,78.17 2 7
github.com/tknb-023/ccat/ccat.go:85.3,85.7 1 7
github.com/tknb-023/ccat/ccat.go:78.17,80.4 1 1
github.com/tknb-023/ccat/ccat.go:80.9,80.26 1 6
github.com/tknb-023/ccat/ccat.go:80.26,82.4 1 1
github.com/tknb-023/ccat/ccat.go:82.9,84.4 1 5
github.com/tknb-023/ccat/main.go:10.53,21.2 2 2
github.com/tknb-023/ccat/main.go:23.33,24.24 1 6
github.com/tknb-023/ccat/main.go:30.2,30.10 1 6
github.com/tknb-023/ccat/main.go:24.24,27.3 2 1
github.com/tknb-023/ccat/main.go:27.8,29.3 1 5
github.com/tknb-023/ccat/main.go:33.32,35.16 2 8
github.com/tknb-023/ccat/main.go:40.2,40.15 1 8
github.com/tknb-023/ccat/main.go:44.2,44.22 1 6
github.com/tknb-023/ccat/main.go:35.16,39.3 3 0
github.com/tknb-023/ccat/main.go:40.15,43.3 2 2
github.com/tknb-023/ccat/main.go:47.13,50.2 2 0
github.com/tknb-023/ccat/args.go:19.49,22.23 3 16
github.com/tknb-023/ccat/args.go:23.2,28.42 6 16
github.com/tknb-023/ccat/args.go:31.2,32.18 2 15
github.com/tknb-023/ccat/args.go:22.23,22.60 1 0
github.com/tknb-023/ccat/args.go:28.42,30.3 1 1
